text;label
An acorn is a small, hard-shelled nut with a pointed top and flattish bottom.;acorn PIVOT,small SIZE,hard HARDNESS,shelled COMPONENT,nut CONTEXT,flattish GEOMETRY,bottom COMPONENT
Acorns are generally harvested and eaten by wildlife, but can also be utilized for human consumption in various forms, such as flour or roasted snacks.;Acorns PIVOT,eaten TASK
The most common physical attributes of an apple include a round shape, a red or green color, a smooth and shiny skin, and a crisp and juicy texture.;apple PIVOT,round GEOMETRY,red COLOR,green COLOR,smooth TEXTURE,skin COMPONENT
Apples are commonly used for eating raw or cooked in various dishes, as well as for making juice and cider.;Apples PIVOT,eating TASK
An apricot is a small, round fruit with a fuzzy exterior.;apricot PIVOT,small SIZE,round GEOMETRY,fruit CONTEXT,fuzzy TEXTURE
It has a golden-orange color and a soft, juicy interior.;golden COLOR,orange COLOR,soft HARDNESS
Apricots are commonly used in baking, as a topping for yogurt or cereal, and in jams and preserves.;Apricots PIVOT
An avocado is a pear-shaped fruit with green, bumpy skin and contains a large, light green pit.;avocado PIVOT,fruit CONTEXT,green COLOR,bumpy TEXTURE,skin COMPONENT,large SIZE,pit COMPONENT
A ballpoint pen typically has a cylindrical shape with a retractable ballpoint tip.;ballpoint CONTEXT,pen PIVOT,cylindrical GEOMETRY,tip COMPONENT
It is commonly made from plastic or metal with a clip for attaching to a pocket or notebook.;plastic MATERIAL,metal MATERIAL,clip COMPONENT,attaching TASK
It uses ink that is dispensed through a small ball in the tip, allowing for smooth writing on various surfaces.;small SIZE,ball COMPONENT,tip COMPONENT,writing TASK
Ballpoint pens are used for writing, note-taking, signing documents, and many other tasks that require a reliable writing instrument.;Ballpoint CONTEXT,pens PIVOT,writing TASK,signing TASK
A banana typically has a curved yellow skin and a soft, sweet fruit inside.;banana PIVOT,curved GEOMETRY,yellow COLOR,soft HARDNESS,fruit CONTEXT
It can be eaten fresh or used in cooking and baking.;eaten TASK
Bananas are a good source of fiber, vitamins, and minerals, and are known for their potassium content which may help regulate blood pressure.;Bananas PIVOT
The most common physical attributes of a banknote include its size, color, material, design, watermark, security thread, and serial number.;banknote PIVOT
Banknotes are used as a form of currency to facilitate transactions and as a store of value.;Banknotes PIVOT
A barrette is a small hair accessory that is typically made of metal, plastic, or other materials and used to hold hair in place.;barrette PIVOT,small SIZE,accessory CONTEXT,metal MATERIAL,plastic MATERIAL,hold TASK
It usually has a clasp or clip on one end that can be fastened onto the hair.;clasp COMPONENT,clip COMPONENT,fastened TASK
Barrettes come in various shapes, sizes, and designs and can be used for functional or decorative purposes.;Barrettes PIVOT
The most common physical attributes of a barrette include a flat surface for holding hair, a clasp or clip for attaching to hair, and a decorative or embellished surface for style.;barrette PIVOT,flat GEOMETRY,surface COMPONENT,holding TASK,clasp COMPONENT,clip COMPONENT,attaching TASK
The most common physical attributes of a battery are its size and shape, voltage capacity, and chemistry.;battery PIVOT
Batteries are used to power various electrical devices such as smartphones, laptops, toys, and household appliances.;Batteries PIVOT
A bead is a small, round object typically made of various materials such as glass, metal, or plastic.;bead PIVOT,small SIZE,round GEOMETRY,glass MATERIAL,metal MATERIAL,plastic MATERIAL
Beads often have a hole through the center and can be used in various ways, such as for jewelry-making, embroidery, or as decorative accents.;Beads PIVOT
Some beads may have a smooth surface, while others may be textured, faceted, or have engraved designs.;beads PIVOT,smooth TEXTURE,faceted TEXTURE
The physical attributes of a bead depend on its material and intended use.;bead PIVOT
Beer bottles are typically made of glass and have a tapered neck and a narrow opening.;Beer CONTEXT,bottles PIVOT,glass MATERIAL,tapered GEOMETRY,neck COMPONENT,narrow GEOMETRY,opening COMPONENT
Beer bottles are primarily used to hold and store beer, typically for retail sales in liquor stores or servings in bars and restaurants.;Beer CONTEXT,bottles PIVOT,hold TASK
They also provide a means for consumers to transport and enjoy beer at home or on-the-go.;transport TASK
The most common physical attributes of a billiard ball are its size, weight, and spherical shape.;billiard CONTEXT,ball PIVOT,spherical GEOMETRY
Billiard balls are made of materials such as phenolic resin, polyester, or ivory;Billiard CONTEXT,balls PIVOT,resin MATERIAL,polyester MATERIAL,ivory MATERIAL
The most common physical attributes of a book are its pages bound together by a cover.;book PIVOT,pages COMPONENT,cover COMPONENT
The pages may contain text, images, or both.;pages COMPONENT,text COMPONENT,images COMPONENT
The book can be used for entertainment, education, reference, or as a source of information.;book PIVOT
A bookmark is a thin, rectangular piece of paper or card, often with decorative designs or images, used to mark a reader's place in a book or other printed materials.;bookmark PIVOT,thin GEOMETRY,rectangular GEOMETRY,piece CONTEXT,paper MATERIAL,card CONTEXT,mark TASK
The most common physical attributes of a bottle are a cylindrical, elongated shape with a neck and a narrow opening, made of glass or plastic materials.;bottle PIVOT,cylindrical GEOMETRY,elongated GEOMETRY,neck COMPONENT,narrow GEOMETRY,opening COMPONENT,glass MATERIAL,plastic MATERIAL
Bottles are used to store and transport liquids, such as water, beverages, medicines, and cleaning products.;Bottles PIVOT,transport TASK
They can also be used for decorative purposes or as a container for homemade products, such as perfumes or oils.;container CONTEXT
A bowl is a round or curved container with a flat base and open top.;bowl PIVOT,round GEOMETRY,curved GEOMETRY,container CONTEXT,flat GEOMETRY,base COMPONENT
It can be made of various materials such as ceramic, glass, metal or plastic.;ceramic MATERIAL,glass MATERIAL,metal MATERIAL,plastic MATERIAL
Bowls are commonly used for holding and serving food, and can range in size from small to large.;Bowls PIVOT,holding TASK,small SIZE,large SIZE
The most common physical attributes of a bowl include its size, shape, material, and depth.;bowl PIVOT
A box is typically a rectangular container with straight sides and a lid or flaps, made of cardboard, plastic, or wood.;box PIVOT,rectangular GEOMETRY,container CONTEXT,straight GEOMETRY,sides COMPONENT,lid COMPONENT,cardboard MATERIAL,plastic MATERIAL,wood MATERIAL
The most common physical attributes of a box include its size, shape, material, and durability.;box PIVOT
