Object;ChatGPTLNoTypes;GraspType;Grasp
Acorn;acorn acorn small oval rounded nut brownish brown hard shell rough bumpy shell cap cap smooth thin shell white seed eaten;Precision;2
Apple;apple apple Apples round oval conical smooth glossy skin apple green yellow red pink apple crisp;Power;1
Apricot;apricot Apricots small round oval-shaped fruit fuzzy velvety skin yellow orange apricot fruit large pit stone soft;Power;1
Avocado;avocado avocado fruit oval pear-shaped rough green black skin buttery fruit large hard eating small large soft;Power;1
Ballpoint pen;ballpoint pen Ballpoint pens cylindrical ballpoint pen ballpoint pen plastic metal wood smudging ballpoint pen small ball hold write throwing;Precision;3
Banana;bananas bananas banana fruit elongated curved skin yellow soft skin banana thick tough soft fruit lightweight;Power;1
Banknote;banknote banknotes cotton linen rectangular banknote;Power;0
Barrette;barrette small accessory hold plastic metal flat rectangular curved Plastic barrettes lightweight flexible smooth Metal clasp clip hold metal;Precision;2
Battery;batteries Batteries cylindrical rectangular battery Batteries;Precision;2
Bead;beads Beads round oval cylindrical flat tiny glass wood plastic gemstones solid smooth glossy rough beads beads gemstones plastic wood;Precision;2
Beer bottle;beer bottle glass plastic Glass hard elongated cylindrical narrow neck wide base base Glass beer plastic hold pour smooth neck tapered hold cap cap;Power;1
Billiard ball;billiard ball billiard ball resin polyester resin hard billiard ball billiard ball smooth roll billiard ball solid white Billiard balls Billiard balls;Precision;2
Book;book book book book pages paperback paperback cloth Pages paper pages pages book book book;Power;0
Bookmark;bookmark bookmark thin piece mark paper cardboard plastic fabric thin lightweight Bookmarks paper cardboard plastic fabric bookmark bookmarks flexible bookmark paper plastic fabric;Power;0
Bottle;bottle bottle container holding cylindrical rectangular oval glass plastic Glass plastic Plastic lightweight hold bottle bottle Glass bottles plastic Bottles Glass bottles plastic;Power;1
Bowl;ceramic glass bowl bowl curved concave circular oval top sides tapered straight small large small bowl hold large bowl bowl Ceramic glass bowls plastic metal bowl smooth rough Ceramic glass bowls plastic metal ceramic glass bowl bowl;Power;0
Box;box box box small square large rectangular lightweight carry box Boxes cardboard plastic metal wood fabric box plastic boxes paper Boxes box;Power;0
Bun;buns Buns soft crispy bun brown yellow round oval oblong bun small held bun buns heavy light;Precision;2
Candle;candle candle solid wax wax wax candle wax;Power;1
Chalice;chalice chalice glass metal ceramic Glass smooth Metal heavy Ceramic porous chalice stem;Power;1
