text;label
The acorn, or oaknut, is the nut of the oaks and their close relatives (genera "Quercus" and "Lithocarpus", in the family Fagaceae).;acorn PIVOT,nut CONTEXT
It usually contains one seed (occasionally two seeds), enclosed in a tough, leathery shell, and borne in a cup shaped cupule.;tough HARDNESS,leathery TEXTURE,shell COMPONENT,cupule COMPONENT
Acorns are long and on the fat side.;Acorns PIVOT,long SIZE
Acorns take between 6 and 24 months (depending on the species) to mature, see the list of "Quercus" species for details of oak classification, in which acorn morphology and phenology are important factors.;Acorns PIVOT
The fruit of the oak, being an oval nut growing in a woody cup or cupule.;fruit CONTEXT,oval GEOMETRY,nut CONTEXT,woody MATERIAL,cupule COMPONENT
fruit of the oak tree: a smooth thin walled nut in a woody cup shaped base.;fruit CONTEXT,smooth TEXTURE,nut CONTEXT,woody MATERIAL
An acorn is a pale oval nut that is the fruit of an oak tree.;acorn PIVOT,oval GEOMETRY,nut CONTEXT,fruit CONTEXT
the nut of the oak usually seated in or surrounded by a hard woody cupule of indurated bracts.;nut PIVOT,hard HARDNESS,woody MATERIAL,cupule COMPONENT
the nut of an oak tree, shaped like a small egg with a cover like a cup at one end.;nut PIVOT,small SIZE
the typically ovoid fruit or nut of an oak, enclosed at the base by a cupule.;ovoid GEOMETRY,fruit CONTEXT,nut CONTEXT,cupule COMPONENT
The fruit of an oak, consisting of a single seeded, thick walled nut set in a woody, cuplike base.;fruit CONTEXT,nut CONTEXT,woody MATERIAL
The fruit of the oak tree, a smooth oval nut in a rough cup shaped base.;fruit CONTEXT,smooth TEXTURE,oval GEOMETRY,nut CONTEXT,rough TEXTURE
An apple is an edible fruit produced by an apple tree (Malus domestica).;apple PIVOT,fruit CONTEXT
Apples have been grown for thousands of years in Asia and Europe and were brought to North America by European colonists.;Apples PIVOT
A common, round fruit produced by the tree Malus domestica, cultivated in temperate climates.;round GEOMETRY,fruit CONTEXT
fruit with red or yellow or green skin and sweet to tart crisp whitish flesh.;fruit CONTEXT,red COLOR,yellow COLOR,green COLOR
An apple is a round fruit with smooth green, yellow, or red skin and firm white flesh.;apple PIVOT,round GEOMETRY,fruit CONTEXT,smooth TEXTURE,green COLOR,yellow COLOR,red COLOR
the fleshy, usually rounded red, yellow, or green edible pome fruit of a usually cultivated tree (genus Malus) of the rose family.;rounded GEOMETRY,red COLOR,yellow COLOR,green COLOR,fruit CONTEXT
a hard round fruit that is white inside and has a smooth green, yellow, or red skin, which is called peel when it has been removed.;hard HARDNESS,round GEOMETRY,fruit CONTEXT,white COLOR,smooth TEXTURE,green COLOR,yellow COLOR,red COLOR,peel COMPONENT
the usually round, red or yellow, edible fruit of a small tree, Malus sylvestris, of the rose family.;round GEOMETRY,red COLOR,yellow COLOR,fruit CONTEXT
The firm, edible, usually rounded fruit of this tree.;firm HARDNESS,rounded GEOMETRY,fruit CONTEXT
An apricot (, ) is a fruit, or the tree that bears the fruit, of several species in the genus "Prunus" (stone fruits).;apricot PIVOT,fruit CONTEXT
The round fruit of a tree of the rose family, which typically has thin red or green skin and crisp flesh.;round GEOMETRY,fruit CONTEXT,thin GEOMETRY,red COLOR,green COLOR,skin COMPONENT
A round sweet and juicy stone fruit, resembling peach or plum in taste, with a yellow orange flesh, lightly fuzzy skin and a large seed inside.;round GEOMETRY,fruit CONTEXT,yellow COLOR,orange COLOR,fuzzy TEXTURE,skin COMPONENT,large SIZE,seed COMPONENT
An apricot is a small, soft, round fruit with yellowish orange flesh and a stone inside.;apricot PIVOT,small SIZE,soft HARDNESS,round GEOMETRY,fruit CONTEXT,yellowish COLOR,orange COLOR
the oval orange colored fruit of a temperate-zone tree (Prunus armeniaca) resembling the related peach and plum in flavor.;oval GEOMETRY,orange COLOR,fruit CONTEXT
a soft fruit with an orange yellow skin and a large hard seed inside.;soft HARDNESS,fruit CONTEXT,orange COLOR,yellow COLOR,skin COMPONENT,large SIZE,hard HARDNESS,seed COMPONENT
the downy, yellow, sometimes rosy fruit, somewhat resembling a small peach, of the tree Prunus armeniaca.;yellow COLOR,rosy COLOR,fruit CONTEXT,small SIZE
A juicy, soft fruit, resembling a small peach, of an orange yellow color.;soft HARDNESS,fruit CONTEXT,small SIZE,orange COLOR,yellow COLOR
The avocado ("Persea americana"), a tree likely originating from south-central Mexico, is classified as a member of the flowering plant family Lauraceae.;avocado PIVOT
The fruit of the plant, also called an avocado (or avocado pear or alligator pear), is botanically a large berry containing a single large seed.;fruit CONTEXT,large SIZE
The large, usually yellowish-green or black, pulpy fruit of the avocado tree.;large SIZE,yellowish COLOR,green COLOR,black COLOR,fruit CONTEXT
a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed;fruit CONTEXT,green COLOR,blackish COLOR,large SIZE,seed COMPONENT
Avocados are pear-shaped vegetables, with hard skins and large stones, which are usually eaten raw.;Avocados PIVOT,vegetables CONTEXT,hard HARDNESS,skins COMPONENT,large SIZE,stones COMPONENT,eaten TASK
a fruit with green or black skin, a very large seed in the middle, and pale green flesh that does not taste sweet.;fruit CONTEXT,green COLOR,black COLOR,large SIZE,seed COMPONENT
a large, usually pear-shaped fruit having green to blackish skin, a single large seed, and soft, light-green pulp, borne by the tropical American tree Persea americana and its variety P. adrymifolia, often eaten raw, especially in salads.;large SIZE,fruit CONTEXT,green COLOR,blackish COLOR,skin COMPONENT,eaten TASK
A tropical American tree (Persea americana) having oval or pear-shaped fruit with leathery skin, yellowish-green flesh, and a large seed.;oval GEOMETRY,fruit CONTEXT,leathery TEXTURE,skin COMPONENT,large SIZE,seed COMPONENT
A pear-shaped fruit with a rough leathery skin, smooth oily edible flesh, and a large stone.;fruit CONTEXT,rough TEXTURE,leathery TEXTURE,skin COMPONENT,large SIZE,stone COMPONENT
A ballpoint pen, also known as a biro (British English), ball pen (Philippine English), or dot pen (Nepali) is a pen that dispenses ink (usually in paste form) over a metal ball at its point, i.e. over a "ball point".;ballpoint CONTEXT,pen PIVOT,metal MATERIAL,ball COMPONENT
The metal commonly used is steel, brass, or tungsten carbide.;metal MATERIAL,steel MATERIAL,brass MATERIAL
The design was conceived and developed as a cleaner and more reliable alternative to dip pens and fountain pens, and it is now the world's most-used writing instrument, millions are manufactured and sold daily.;writing TASK,instrument CONTEXT
A pen, similar in size and shape to a pencil, having an internal chamber filled with a viscous, quick-drying ink that is dispensed at the tip during use by the rolling action of a metal sphere (around 0.7 mm to 1 mm in diameter).;pen PIVOT,tip COMPONENT,metal MATERIAL,sphere COMPONENT
a pen having, instead of a point, a small ball bearing that picks up its ink by rolling against an interior ink reservoir.;pen PIVOT,small SIZE,ball COMPONENT
a pen having as the writing point a small rotating metal ball that inks itself by contact with an inner magazine.;pen PIVOT,writing TASK,small SIZE,metal MATERIAL,ball COMPONENT
a pen with a very small ball at the end from which ink flows as you write;pen PIVOT,small SIZE,ball COMPONENT,write TASK
A pen with a tiny ball as its writing point.;pen PIVOT,tiny SIZE,ball COMPONENT,writing TASK
A banana is an elongated, edible fruit botanically a berry produced by several kinds of large herbaceous flowering plants in the genus "Musa".;banana PIVOT,elongated GEOMETRY,fruit CONTEXT
In some countries, bananas used for cooking may be called "plantains", distinguishing them from dessert bananas.;bananas PIVOT
The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may be green, yellow, red, purple, or brown when ripe.;fruit CONTEXT,elongated GEOMETRY,curved GEOMETRY,green COLOR,yellow COLOR,red COLOR,purple COLOR,brown COLOR
An elongated curved tropical fruit that grows in bunches and has a creamy flesh and a smooth skin.;elongated GEOMETRY,curved GEOMETRY,fruit CONTEXT,smooth TEXTURE,skin COMPONENT
Bananas are long curved fruit with yellow skins.;Bananas PIVOT,long SIZE,curved GEOMETRY,fruit CONTEXT,yellow COLOR,skins COMPONENT
an elongated usually tapering tropical fruit with soft pulpy flesh enclosed in a soft usually yellow rind.;elongated GEOMETRY,fruit CONTEXT,soft HARDNESS,yellow COLOR
a long curved fruit with a yellow skin;long SIZE,curved GEOMETRY,fruit CONTEXT,yellow COLOR,skin COMPONENT
The elongated, edible fruit of these plants, having a thick yellowish to reddish skin and whitish, pulpy flesh.;elongated GEOMETRY,fruit CONTEXT,thick GEOMETRY,yellowish COLOR,reddish COLOR,skin COMPONENT
A long curved fruit which grows in clusters and has soft pulpy flesh and yellow skin when ripe.;long SIZE,curved GEOMETRY,fruit CONTEXT,yellow COLOR,skin COMPONENT
A banknote (often known as a bill (in the US and Canada), paper money, or simply a note) is a type of negotiable promissory note, made by a bank or other licensed authority, payable to the bearer on demand.;banknote PIVOT,bill CONTEXT,paper CONTEXT,payable TASK
a promissory note issued by a bank payable to bearer on demand without interest and acceptable as money.;payable TASK
Banknotes are pieces of paper money.;Banknotes PIVOT,pieces CONTEXT,paper CONTEXT
A barrette (American English), also known as a hair clasp (British English), or a hair clip, is a clasp for holding hair in place.;barrette PIVOT,clasp CONTEXT,clip CONTEXT,holding TASK
They are often made from metal or plastic and sometimes feature decorative fabric.;metal MATERIAL,plastic MATERIAL,fabric MATERIAL
In one type of barrette, a clasp is used to secure the barrette in place, the clasp opens when the two metal pieces at either side are pressed together.;barrette PIVOT,clasp CONTEXT,metal MATERIAL,pressed TASK
a pin for holding women's hair in place.;holding TASK
A barrette is a small metal or plastic device that a woman uses to hold her hair in position.;barrette PIVOT,small SIZE,metal MATERIAL,plastic MATERIAL,hold TASK
a clip or bar for holding hair in place;clip CONTEXT,holding TASK
a clasp for holding a woman's or girl's hair in place.;clasp CONTEXT,holding TASK
A small clasp for holding the hair in place.;small SIZE,clasp CONTEXT,holding TASK
Batteries are small devices that provide the power for electrical items such as torches and children's toys.;Batteries PIVOT,small SIZE
A bead is a small, decorative object that is formed in a variety of shapes and sizes of a material such as stone, bone, shell, glass, plastic, wood or pearl and with a small hole for threading or stringing.;bead PIVOT,small SIZE,stone MATERIAL,shell COMPONENT,glass MATERIAL,plastic MATERIAL,wood MATERIAL,threading TASK,stringing TASK
Beads can be woven together with specialized thread, strung onto thread or soft, flexible wire, or adhered to a surface (e.g. fabric, clay).;Beads PIVOT
Beads are small pieces of coloured glass, wood, or plastic with a hole through the middle.;Beads PIVOT,small SIZE,pieces CONTEXT,glass MATERIAL,wood MATERIAL,plastic MATERIAL
a small usually round piece of plastic, glass, metal etc with a hole through it, that you put on a string or chain with other beads and wear as jewellery;small SIZE,round GEOMETRY,piece CONTEXT,plastic MATERIAL,glass MATERIAL,metal MATERIAL
A small, often round piece of material, such as glass, plastic, or wood, that is pierced for stringing or threading.;small SIZE,round GEOMETRY,piece CONTEXT,glass MATERIAL,plastic MATERIAL,wood MATERIAL,stringing TASK,threading TASK
A small piece of glass, stone, or similar material, typically rounded and perforated for threading with others as a necklace or rosary or for sewing onto fabric.;small SIZE,piece CONTEXT,glass MATERIAL,stone MATERIAL,rounded GEOMETRY,threading TASK,sewing TASK
A beer bottle is a bottle designed as a container for beer.;beer CONTEXT,bottle PIVOT,container CONTEXT
A bottle, commonly made of brown or green glass, designed as a container for beer.;bottle PIVOT,brown COLOR,green COLOR,container CONTEXT
A billiard ball is a small, hard ball used in cue sports, such as carom billiards, pool, and snooker.;billiard CONTEXT,ball PIVOT,small SIZE,hard HARDNESS
a hard ball used in billiards;hard HARDNESS,ball PIVOT
one of the balls used in playing billiards;balls PIVOT,playing TASK
A book is a medium for recording information in the form of writing or images, typically composed of many pages (made of papyrus, parchment, vellum, or paper) bound together and protected by a cover.;book PIVOT,writing TASK,images COMPONENT,pages COMPONENT,paper MATERIAL
A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc.;sheets CONTEXT,paper MATERIAL,written TASK,pictures COMPONENT
She opened the book to page 37 and began to read aloud.;opened TASK,book PIVOT,read TASK
a written work or composition that has been published (printed on pages bound together);written TASK,pages COMPONENT
A book is a number of pieces of paper, usually with words printed on them, which are fastened together and fixed inside a cover of stronger paper or cardboard.;book PIVOT,paper MATERIAL
a set of written sheets of skin or paper or tablets of wood or ivory;written TASK,sheets CONTEXT,paper MATERIAL
a written work that is published, either as printed pages inside a cover or electronically;written TASK,pages COMPONENT
A written or printed work consisting of pages glued or sewn together along one side and bound in covers.;written TASK,pages COMPONENT
A bookmark is a thin marking tool, commonly made of card, leather, or fabric, used to keep track of a reader's progress in a book and allow the reader to easily return to where the previous reading session ended.;bookmark PIVOT,thin GEOMETRY,marking TASK,tool CONTEXT,card MATERIAL,leather MATERIAL,fabric MATERIAL
Alternate materials for bookmarks are paper, metals like silver and brass, silk, wood, cord (sewing), and plastic.;bookmarks PIVOT,paper MATERIAL,metals MATERIAL,silver MATERIAL,brass MATERIAL,wood MATERIAL,cord MATERIAL,plastic MATERIAL
A strip of material used to mark a place in a book.;strip CONTEXT,mark TASK
A bookmark is a narrow piece of card or leather that you put between the pages of a book so that you can find a particular page easily.;bookmark PIVOT,narrow GEOMETRY,piece CONTEXT,card MATERIAL,leather MATERIAL,put TASK
A strip of material, as of ribbon or leather, or a metal clamp, that is placed between the pages of a book to mark the reader's place.;strip CONTEXT,ribbon MATERIAL,leather MATERIAL,mark TASK
A strip of leather, card, or other material, used to mark one's place in a book.;strip CONTEXT,leather MATERIAL,card MATERIAL,mark TASK
