Object;ChatGPTSNoTypes;GraspType;Grasp
Acorn;acorn small nut top flattish bottom leather;Precision;2
Apple;apple round red green smooth skin eating;Power;1
Apricot;apricot small round fruit fuzzy soft;Power;1
Avocado;avocado pear-shaped fruit green bumpy skin large green pit;Power;1
Ballpoint pen;ballpoint pen cylindrical tip plastic metal clip attaching small ball tip writing writing writing instrument;Precision;3
Banana;banana curved yellow skin soft fruit eaten cooking;Power;1
Banknote;banknote;Power;0
Barrette;barrette small accessory metal plastic hold clasp fastened barrette flat holding clasp clip attaching;Precision;2
Battery;battery;Precision;2
Bead;bead small round glass metal plastic beads smooth bead;Precision;2
Beer bottle;Beer bottles glass tapered neck narrow opening Beer hold;Power;1
Billiard ball;billiard ball spherical resin polyester ivory;Precision;2
Book;book pages cover pages;Power;0
Bookmark;bookmark thin rectangular piece paper card mark page;Power;0
Bottle;bottle cylindrical elongated neck narrow opening glass plastic container;Power;1
Bowl;bowl round curved container flat base top ceramic glass metal plastic holding small large mixing holding bowl;Power;0
Box;box rectangular container straight sides lid flaps cardboard plastic wood box;Power;0
Bun;bun round head long ears small tail;Precision;2
Candle;candle cylindrical piece wax;Power;1
Chalice;chalice vessel metal glass ceramic stem base;Power;1
Chalk;Chalk soft white rock writing tool powdery white;Precision;3
Chess piece;chess piece rounded top wide base slender middle wood plastic;Precision;2
Chestnut;chestnut hard shell smooth skin;Precision;2
Chocolate bar;chocolate bar rectangular smooth glossy;Power;0
Cigarette;cigarette thin paper cigarette;Precision;3
Clementine;Clementines small round fruits thin smooth orange peel peel;Power;1
Coin;coin circular flat metal;Power;0
Comb;comb small tool plastic metal wood grooming styling untangling detangle;Power;0
Compact disk;disk flat circular plastic disc;Power;0
Credit card;credit card plastic;Power;0
Cucumber;cucumber long cylindrical vegetable smooth green skin;Power;1
Cup;cup container handle round opening top cylindrical conical drinking cup glass ceramic plastic metal;Power;1
Dice;die small plastic metal rounded sides;Precision;2
Donut;donut circular;Power;0
Earring;earring small piece jewelry metal gold silver;Precision;2
Egg;Egg oval-shaped hard shell white round yellow white;Precision;2
Envelope;envelope rectangular paper flap flat;Power;0
Flashlight;flashlight cylindrical bulb button;Power;1
Flask;flask small flat curved lid steel metal glass leather carrying;Power;1
Fork;fork utensil metal slender prongs handle eating transferring picking small breaking cooking tool eating;Precision;3
Fountain pen;fountain pen nib metal plastic cylindrical barrel cap Fountain writing drawing writing;Precision;3
Frisbee;frisbee pen round flat curved edge plastic throwing;Power;0
Gel pen;gel pen plastic rubber writing drawing;Precision;3
Glasses;Glasses lenses plastic metal glass plastic polycarbonate Glasses;Precision;2
Glue stick;glue stick cylindrical plastic solid attaching lightweight stick;Power;1
Golf ball;golf ball small spherical rubber plastic Golf balls golf;Precision;2
Hairbrush;hairbrush handle flat rectangular head bristles plastic nylon smoothing shaping;Power;0
Hammer;hammer tool head handle head steel wood strike driving wood breaking handle wood plastic rubber;Power;1
Handfan;handfan flat lightweight paper fabric plastic;Power;0
Jar;jar container narrow neck glass ceramic lid cap;Power;1
Jug;jug tall container narrow neck handle pouring ceramic glass plastic pouring;Power;1
Key;key small metal steel brass flat turning pushing;Power;0
Kiwifruit;kiwifruit brown fuzzy green small black seeds;Precision;2
Knife;knife blade metal handle hard wood plastic blade cutting slicing chopping cutting handle cutting;Precision;3
Ladle;ladle utensil scooping serving metal plastic bowl long handle hold rounded pour curved lip hold;Precision;3
Lemon;Lemons small oval-shaped fruit yellow skin cooking;Power;1
Lollipop;lollipop small round candy stick hard smooth stick hold;Precision;3
Marble;marble smooth rock white gray beige pink green;Precision;2
Marker Pen;marker pen cylindrical plastic felt tip cap tip writing drawing cardboard;Precision;3
Mobile phone;mobile phone screen;Power;0
Mousepad;mousepad flat rubber foam fabric smooth;Power;0
Mug;mug cylindrical vessel handle holding ceramic porcelain glass metal plastic small large drinking;Power;1
Newspaper;newspapers large sheets paper;Power;0
Notepad;notepad rectangular pages paper writing drawing;Power;0
Onion;Onions round skin white yellow red thin;Power;1
Paintbrush;paintbrush long slender handle bristle tip tip small large round flat bristles brush tips painting small broader tips creating flat tool;Precision;3
Pan;pan flat-bottomed cooking vessel straight sides handle metal steel aluminum iron cooking cooking;Power;0
Peach;peach round fruit fuzzy velvety skin yellow pink yellow orange;Power;1
Pear;pear fruit rounded bottom narrower top thin skin eaten;Power;1
Pencil;pencil cylindrical writing instrument wood graphite tip flat eraser writing drawing sketching lightweight;Precision;3
Pill;Pills small solid cylindrical oval-shaped smooth;Precision;2
Pliers;pliers metallic jaws opened closed Pliers flat rounded jaws handles pliers rubber plastic Pliers gripping cutting bending twisting;Power;1
Plate;plate flat circular oval-shaped ceramic glass metal serve small large;Power;0
Playing card;playing card rectangular;Power;0
Potato;potato round oval brown red skin white yellow cooking;Power;1
Potato chip;potato chip thin crispy slice potato curved smooth golden crunchy;Power;0
Quill;quill feather reed tip hold writing drawing;Precision;3
Remote control;remote control rectangular buttons;Power;0
Rubik's Cube;Rubik cube puzzle small;Power;1
Scalpel;scalpel small knife handle metal plastic thrown blade steel tip curved excising cutting;Precision;3
Scissors;Scissors blades metal handles holding cutting paper fabric blades straight curved cutting cutting scissors;Precision;3
Screw;screw head shank;Precision;2
Screwdriver;screwdriver long narrow cylindrical metal shaft flat tip shaft tightening loosening small metal plastic;Precision;3
Sheet of paper;sheet paper thin flat white Paper writing drawing;Power;0
Spatula;spatula flat wide thin blade metal silicone long handle flipping turning cooking;Power;0
Sponge;Sponges porous soft flexible cylindrical flattened cleaning hold;Precision;2
Spoon;spoon small concave utensil metal plastic wood ceramic handle bowl scooping transferring container bowl oval-shaped handle thin straight stirring sipping;Precision;3
Strawberry;strawberry small red fruit heart-shaped small seeds;Precision;2
Syringe;syringe cylindrical draw inject small needle drawing injecting;Precision;3
Tennis ball;tennis ball spherical fuzzy yellow felt;Precision;2
Thermometer;thermometer glass plastic tube;Precision;3
Toothbrush;toothbrush tool handle bristles nylon bristles bristles cleaning removing;Precision;3
Tube;tube cylindrical metal plastic glass tube;Precision;3
Tweezers;Tweezers metal straight angled tips;Precision;3
Vase;vase container glass ceramic metal narrow neck wide base vase Vases small large;Power;1
Wallet;wallet small flat leather plastic hold small organizing;Power;0
Walnut;Walnuts oval-shaped nuts hard brown shell;Precision;2
Whisk;whisk handle wire curved metal silicone mix beating whipping;Precision;3
Wine bottle;wine bottle narrow neck base sloping shoulders glass;Power;1
Wine glass;wine glass stem bowl stem glass held swirling narrow;Power;1
