Object;WikiTokensWithTypes;GraspType;Grasp
Acorn;PIVOT acorn CONTEXT nut HARDNESS tough TEXTURE leathery COMPONENT shell SIZE long CONTEXT fruit GEOMETRY oval CONTEXT nut MATERIAL woody COMPONENT cup CONTEXT fruit TEXTURE smooth CONTEXT nut GEOMETRY oval CONTEXT nut CONTEXT fruit CONTEXT nut HARDNESS hard COMPONENT woody CONTEXT nut SIZE small COMPONENT cover GEOMETRY ovoid CONTEXT fruit CONTEXT nut CONTEXT fruit GEOMETRY thick-walled CONTEXT nut COMPONENT woody CONTEXT fruit TEXTURE smooth GEOMETRY oval CONTEXT nut TEXTURE rough COMPONENT base;Precision;2
Apple;PIVOT apple CONTEXT fruit PIVOT Apples PIVOT Apples GEOMETRY round CONTEXT fruit CONTEXT fruit COLOR red COLOR yellow COLOR green COMPONENT skin GEOMETRY round CONTEXT fruit TEXTURE smooth COLOR green COLOR yellow COLOR red COMPONENT skin GEOMETRY rounded COLOR red COLOR yellow COLOR green CONTEXT fruit HARDNESS hard GEOMETRY round CONTEXT fruit COLOR white TEXTURE smooth COLOR green COLOR yellow COLOR red COMPONENT skin COMPONENT seeds GEOMETRY round COLOR red COLOR yellow CONTEXT fruit SIZE small COLOR white COLOR pink GEOMETRY rounded CONTEXT fruit GEOMETRY round CONTEXT fruit GEOMETRY thin COLOR red COLOR green COMPONENT skin TASK cooking CONTEXT fruit;Power;1
Apricot;PIVOT apricot CONTEXT fruit CONTEXT fruit GEOMETRY round CONTEXT fruit TEXTURE fuzzy COMPONENT skin SIZE large COMPONENT seed COLOR white CONTEXT fruit SIZE small HARDNESS soft GEOMETRY round CONTEXT fruit GEOMETRY oval CONTEXT fruit HARDNESS soft CONTEXT fruit COLOR orange-yellow COMPONENT skin SIZE large HARDNESS hard COMPONENT seed COLOR yellow CONTEXT fruit SIZE small COLOR white CONTEXT fruit HARDNESS soft CONTEXT fruit SIZE small;Power;1
Avocado;PIVOT avocado CONTEXT fruit SIZE large SIZE large COMPONENT seed SIZE large COLOR yellowish-green COLOR black CONTEXT fruit CONTEXT fruit COLOR green COLOR blackish COMPONENT skin SIZE large COMPONENT seed GEOMETRY pear-shaped CONTEXT vegetables HARDNESS hard COMPONENT skins SIZE large COMPONENT stones TASK eaten COLOR green CONTEXT fruit CONTEXT fruit COLOR green COLOR black COMPONENT skin SIZE large COMPONENT seed COLOR green TASK eaten SIZE large GEOMETRY pear-shaped CONTEXT fruit COLOR green COLOR blackish COMPONENT skin SIZE large COMPONENT seed HARDNESS soft TASK eaten GEOMETRY oval GEOMETRY pear-shaped CONTEXT fruit TEXTURE leathery COMPONENT skin SIZE large COMPONENT seed CONTEXT fruit GEOMETRY pear-shaped CONTEXT fruit TEXTURE rough TEXTURE leathery COMPONENT skin TEXTURE smooth SIZE large;Power;1
Ballpoint pen;CONTEXT ballpoint PIVOT pen MATERIAL metal COMPONENT ball MATERIAL metal MATERIAL steel MATERIAL brass MATERIAL carbide TASK writing CONTEXT instrument COMPONENT tip MATERIAL metal SIZE small COMPONENT ball TASK writing SIZE small MATERIAL metal COMPONENT ball SIZE small COMPONENT ball TASK write SIZE tiny COMPONENT ball TASK writing;Precision;3
Banana;PIVOT banana GEOMETRY elongated CONTEXT fruit CONTEXT fruit GEOMETRY elongated GEOMETRY curved HARDNESS soft COLOR green COLOR yellow COLOR red COLOR purple COLOR brown PIVOT bananas GEOMETRY elongated GEOMETRY curved CONTEXT fruit TEXTURE smooth COMPONENT skin SIZE large GEOMETRY elongated CONTEXT fruits SIZE long GEOMETRY curved CONTEXT fruit COLOR yellow COMPONENT skins GEOMETRY elongated GEOMETRY tapering CONTEXT fruit HARDNESS soft HARDNESS soft COLOR yellow SIZE long GEOMETRY curved CONTEXT fruit COLOR yellow COMPONENT skin SIZE large GEOMETRY elongated CONTEXT fruit GEOMETRY thick COLOR yellowish COLOR reddish COMPONENT skin SIZE long GEOMETRY curved CONTEXT fruit HARDNESS soft COLOR yellow COMPONENT skin;Power;1
Banknote;PIVOT banknote MATERIAL paper PIVOT banknotes CONTEXT piece MATERIAL paper MATERIAL paper MATERIAL paper MATERIAL paper CONTEXT piece MATERIAL paper;Power;0
Barrette;PIVOT barrette CONTEXT clasp CONTEXT clasp TASK holding MATERIAL metal MATERIAL plastic MATERIAL fabric COMPONENT clasp TASK secure MATERIAL metal COMPONENT clasp TASK gathering TASK holding TASK holding SIZE small MATERIAL metal MATERIAL plastic TASK hold TASK holding CONTEXT clasp TASK holding SIZE small COMPONENT clasp TASK holding;Precision;2
Battery;PIVOT Battery SIZE small CONTEXT container;Precision;2
Bead;PIVOT bead SIZE small MATERIAL stone MATERIAL shell MATERIAL glass MATERIAL plastic MATERIAL wood MATERIAL pearl SIZE small COMPONENT hole TASK threading TASK stringing HARDNESS soft MATERIAL flexible COMPONENT wire MATERIAL clay SIZE small COMPONENT ball SIZE small CONTEXT pieces MATERIAL glass MATERIAL wood MATERIAL plastic TASK prayer SIZE small GEOMETRY round CONTEXT piece MATERIAL plastic MATERIAL glass MATERIAL metal SIZE small GEOMETRY round MATERIAL glass MATERIAL wood MATERIAL stone SIZE small GEOMETRY round CONTEXT piece MATERIAL glass MATERIAL plastic MATERIAL wood TASK stringing TASK threading SIZE small CONTEXT piece MATERIAL glass MATERIAL stone GEOMETRY rounded TASK threading TASK sewing;Precision;2
