Object;ChatGPTLWithTypes;GraspType;Grasp
Acorn;PIVOT acorn PIVOT acorn SIZE small GEOMETRY oval GEOMETRY rounded CONTEXT nut COLOR brownish COLOR brown HARDNESS hard COMPONENT shell TEXTURE rough TEXTURE bumpy COMPONENT shell COMPONENT cap COMPONENT cap TEXTURE smooth GEOMETRY thin COMPONENT shell COLOR white COMPONENT seed TASK eaten;Precision;2
Apple;PIVOT apple PIVOT apple PIVOT Apples GEOMETRY round GEOMETRY oval GEOMETRY conical TEXTURE smooth TEXTURE glossy COMPONENT skin PIVOT apple COLOR green COLOR yellow COLOR red COLOR pink PIVOT apple TEXTURE crisp;Power;1
Apricot;PIVOT apricot PIVOT Apricots SIZE small GEOMETRY round GEOMETRY oval-shaped CONTEXT fruit TEXTURE fuzzy TEXTURE velvety COMPONENT skin COLOR yellow COLOR orange PIVOT apricot CONTEXT fruit SIZE large COMPONENT pit MATERIAL stone HARDNESS soft;Power;1
Avocado;PIVOT avocado PIVOT avocado CONTEXT fruit GEOMETRY oval GEOMETRY pear-shaped TEXTURE rough COLOR green COLOR black COMPONENT skin TEXTURE buttery CONTEXT fruit SIZE large HARDNESS hard TASK eating SIZE small SIZE large HARDNESS soft;Power;1
Ballpoint pen;CONTEXT ballpoint PIVOT pen CONTEXT Ballpoint PIVOT pens GEOMETRY cylindrical CONTEXT ballpoint PIVOT pen CONTEXT ballpoint PIVOT pen MATERIAL plastic MATERIAL metal MATERIAL wood TASK smudging CONTEXT ballpoint PIVOT pen SIZE small COMPONENT ball TASK hold TASK write TASK throwing;Precision;3
Banana;PIVOT bananas PIVOT bananas PIVOT banana CONTEXT fruit GEOMETRY elongated GEOMETRY curved COMPONENT skin COLOR yellow HARDNESS soft COMPONENT skin PIVOT banana GEOMETRY thick HARDNESS tough HARDNESS soft CONTEXT fruit WEIGHT lightweight;Power;1
Banknote;PIVOT banknote PIVOT banknotes MATERIAL cotton MATERIAL linen GEOMETRY rectangular PIVOT banknote;Power;0
Barrette;PIVOT barrette SIZE small CONTEXT accessory TASK hold MATERIAL plastic MATERIAL metal GEOMETRY flat GEOMETRY rectangular GEOMETRY curved MATERIAL Plastic PIVOT barrettes WEIGHT lightweight MATERIAL flexible TEXTURE smooth MATERIAL Metal COMPONENT clasp COMPONENT clip TASK hold MATERIAL metal;Precision;2
Battery;PIVOT batteries PIVOT Batteries GEOMETRY cylindrical GEOMETRY rectangular PIVOT battery PIVOT Batteries;Precision;2
Bead;PIVOT beads PIVOT Beads GEOMETRY round GEOMETRY oval GEOMETRY cylindrical GEOMETRY flat SIZE tiny MATERIAL glass MATERIAL wood MATERIAL plastic MATERIAL gemstones HARDNESS solid TEXTURE smooth TEXTURE glossy TEXTURE rough PIVOT beads PIVOT beads MATERIAL gemstones MATERIAL plastic MATERIAL wood;Precision;2
Beer bottle;CONTEXT beer PIVOT bottle MATERIAL glass MATERIAL plastic MATERIAL Glass HARDNESS hard GEOMETRY elongated GEOMETRY cylindrical GEOMETRY narrow COMPONENT neck GEOMETRY wide COMPONENT base COMPONENT base MATERIAL Glass CONTEXT beer MATERIAL plastic TASK hold TASK pour TEXTURE smooth COMPONENT neck GEOMETRY tapered TASK hold COMPONENT cap COMPONENT cap;Power;1
Billiard ball;CONTEXT billiard PIVOT ball CONTEXT billiard PIVOT ball MATERIAL resin MATERIAL polyester MATERIAL resin HARDNESS hard CONTEXT billiard PIVOT ball CONTEXT billiard PIVOT ball TEXTURE smooth TASK roll CONTEXT billiard PIVOT ball HARDNESS solid COLOR white CONTEXT Billiard PIVOT balls CONTEXT Billiard PIVOT balls;Precision;2
Book;PIVOT book PIVOT book PIVOT book PIVOT book COMPONENT pages MATERIAL paperback MATERIAL paperback MATERIAL cloth COMPONENT Pages MATERIAL paper COMPONENT pages COMPONENT pages PIVOT book PIVOT book PIVOT book;Power;0
Bookmark;PIVOT bookmark PIVOT bookmark GEOMETRY thin CONTEXT piece TASK mark MATERIAL paper MATERIAL cardboard MATERIAL plastic MATERIAL fabric GEOMETRY thin WEIGHT lightweight PIVOT Bookmarks MATERIAL paper MATERIAL cardboard MATERIAL plastic MATERIAL fabric PIVOT bookmark PIVOT bookmarks MATERIAL flexible PIVOT bookmark MATERIAL paper MATERIAL plastic MATERIAL fabric;Power;0
